City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Xichang,CN,27.8964,102.2634,68.74,94,100,1.52,overcast clouds
157,Imbituba,BR,-28.24,-48.6703,58.89,66,100,8.28,overcast clouds
158,San Blas,MX,21.5167,-105.2667,88.14,58,36,3.6,scattered clouds
159,Nikolskoye,RU,59.7035,30.7861,66.02,85,100,3.49,light rain
160,Biak,ID,-0.9131,122.8766,75.25,86,63,8.16,broken clouds
161,Eureka,US,40.8021,-124.1637,56.01,69,50,4.47,scattered clouds
162,Cherskiy,RU,68.75,161.3,56.68,54,100,4.7,overcast clouds
163,Gaomi,CN,36.3833,119.7528,73.18,91,83,5.5,light rain
164,Hofn,IS,64.2539,-15.2082,57.22,72,75,8.05,broken clouds
165,Ancud,CL,-41.8697,-73.8203,51.33,63,0,1.99,clear sky
166,Kasongo-Lunda,CD,-6.4667,16.8167,85.6,20,6,1.05,clear sky
167,Thinadhoo,MV,0.5333,72.9333,82.72,75,100,13.06,overcast clouds
168,Brae,GB,60.3964,-1.353,58.91,70,100,9.95,overcast clouds
169,Kodiak,US,57.79,-152.4072,52.05,91,35,1.45,scattered clouds
170,Cabo San Lucas,MX,22.8909,-109.9124,86.5,76,61,3.47,broken clouds
171,Talara,PE,-4.5772,-81.2719,72.36,68,0,18.41,clear sky
172,Dingle,PH,10.9995,122.6711,77.32,81,100,4.97,overcast clouds
173,Kamenka,RU,51.3223,42.7678,79.86,57,81,5.61,broken clouds
174,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,77,51,11.77,broken clouds
175,Yarada,IN,17.65,83.2667,84.52,74,75,2.3,moderate rain
176,Avarua,CK,-21.2078,-159.775,69.85,94,75,11.5,light rain
177,Ostrovnoy,RU,68.0531,39.5131,64.81,63,89,7.29,overcast clouds
178,Rancho Palos Verdes,US,33.7445,-118.387,90.14,80,30,1.01,scattered clouds
179,Wajima,JP,37.4,136.9,74.07,88,100,7.16,overcast clouds
180,Jardim,BR,-21.4803,-56.1381,75.96,42,91,4.18,overcast clouds
181,Shu,KZ,43.5983,73.7614,74.19,38,57,3.65,broken clouds
182,Ofunato,JP,39.0717,141.7167,67.28,95,100,9.08,overcast clouds
183,Palmer,US,42.1584,-72.3287,93.49,61,75,1.01,broken clouds
184,Abaza,RU,52.655,90.0928,57.47,96,92,4.21,overcast clouds
185,Namatanai,PG,-3.6667,152.4333,78.39,85,100,7.74,moderate rain
186,Mahebourg,MU,-20.4081,57.7,72.25,83,40,8.05,light rain
187,Byron Bay,AU,-28.65,153.6167,58.87,85,0,9.1,clear sky
188,Mount Gambier,AU,-37.8333,140.7667,46.31,100,54,10.36,broken clouds
189,Los Llanos De Aridane,ES,28.6585,-17.9182,74.95,78,20,11.5,few clouds
190,Fort Nelson,CA,58.8053,-122.7002,60.39,67,75,4.61,broken clouds
191,Tilichiki,RU,60.4667,166.1,51.49,81,69,0.69,broken clouds
192,Nahan,IN,30.55,77.3,78.15,76,54,4.43,broken clouds
193,Khorixas,NA,-20.3667,14.9667,68.88,30,0,12.57,clear sky
194,La Ligua,CL,-32.4524,-71.2311,51.58,60,65,6.49,broken clouds
195,Sorong,ID,-0.8833,131.25,78.31,86,63,4.16,broken clouds
196,Jiangyou,CN,31.7667,104.7167,71.2,87,100,0.85,overcast clouds
197,Doha,QA,25.2867,51.5333,102.51,61,0,5.75,clear sky
198,Ordzhonikidzevskiy,RU,43.8423,41.8964,66.25,92,98,4.47,overcast clouds
199,Port Shepstone,ZA,-30.7414,30.455,60.55,77,47,33.44,light rain
200,Nikel,RU,69.4128,30.222,57.38,90,98,10.11,overcast clouds
201,Kaifeng,CN,34.7911,114.3483,77.86,96,100,5.91,light rain
202,Massa Marittima,IT,43.049,10.8928,90.57,32,13,4.16,few clouds
203,Ternate,ID,0.8,127.4,79.7,80,88,2.77,overcast clouds
204,Steinbach,DE,50.1667,8.5667,85.3,46,0,2.3,clear sky
205,Crateus,BR,-5.1783,-40.6775,97.97,24,24,7.31,few clouds
206,Maceio,BR,-9.6658,-35.7353,83.64,57,75,10.36,broken clouds
207,Srednekolymsk,RU,67.45,153.6833,63.07,44,100,5.86,overcast clouds
208,Ixtapa,MX,20.7,-105.2,86.23,67,76,3.0,broken clouds
209,Saint Anthony,US,45.0205,-93.218,81.1,44,40,3.0,scattered clouds
210,Atar,MR,20.5169,-13.0499,109.56,10,26,14.43,scattered clouds
211,Guerrero Negro,MX,27.9769,-114.0611,84.65,56,23,4.94,few clouds
212,Haukipudas,FI,65.1765,25.3523,64.45,81,0,5.08,clear sky
213,Truro,GB,50.2653,-5.0544,69.96,87,20,17.27,few clouds
214,Lotofaga,WS,-13.9764,-171.8578,71.38,76,17,12.21,few clouds
215,Rocha,UY,-34.4833,-54.3333,54.21,62,1,4.5,clear sky
216,Gasa,PS,31.5,34.4667,87.87,65,0,10.69,clear sky
217,Ilulissat,GL,69.2167,-51.1,45.73,63,100,5.88,overcast clouds
218,Lagoa,PT,39.05,-27.9833,73.78,79,0,13.67,clear sky
219,Khandbari,NP,27.3747,87.2039,73.06,92,98,0.81,overcast clouds
220,Saint-Augustin,CA,51.226,-58.6502,62.11,88,100,7.76,overcast clouds
221,Baracoa,CU,20.3467,-74.4958,86.07,65,37,4.45,scattered clouds
222,Cockburn Town,TC,21.4612,-71.1419,84.16,74,75,13.8,broken clouds
223,Saskylakh,RU,71.9167,114.0833,45.86,80,100,14.99,overcast clouds
224,Kongoussi,BF,13.3258,-1.5347,86.86,51,100,5.01,overcast clouds
225,Mingshui,CN,36.7167,117.5,71.04,92,98,4.09,light rain
226,Asau,RO,46.4333,26.4,72.52,73,44,4.07,scattered clouds
227,New Norfolk,AU,-42.7826,147.0587,49.91,70,97,1.99,overcast clouds
228,Koppies,ZA,-27.2418,27.5742,58.93,26,10,7.74,clear sky
229,La Ronge,CA,55.1001,-105.2842,55.65,58,75,14.97,broken clouds
230,Zhangjiakou,CN,40.81,114.8794,65.8,86,7,4.05,clear sky
231,Neka,IR,36.6508,53.299,85.51,74,0,6.91,clear sky
232,Severo-Kurilsk,RU,50.6789,156.125,50.83,87,100,6.96,overcast clouds
233,Sokoto,NG,13.0609,5.239,84.63,61,100,6.46,light rain
234,Yichang,CN,30.7144,111.2847,72.34,97,100,5.01,light rain
235,Tongchuan,CN,35.0806,109.0897,64.69,93,100,2.15,light rain
236,The Pas,CA,53.8251,-101.2541,55.42,54,90,16.84,overcast clouds
237,Belaya Gora,RU,68.5333,146.4167,53.73,94,78,2.21,broken clouds
238,Seltso,RU,53.3675,34.1,70.29,64,55,11.18,broken clouds
239,Kieta,PG,-6.2167,155.6333,76.75,85,100,2.24,overcast clouds
240,Turayf,SA,31.6725,38.6637,93.45,22,0,11.5,clear sky
241,Gizo,SB,-8.103,156.8419,79.75,76,100,10.51,overcast clouds
242,College,US,64.8569,-147.8028,54.28,86,90,0.0,overcast clouds
243,Mahasamund,IN,21.1,82.1,84.47,71,100,4.88,overcast clouds
244,Sitka,US,57.0531,-135.33,60.69,88,90,0.0,overcast clouds
245,Bubanza,BI,-3.1167,29.4,74.91,54,45,1.54,scattered clouds
246,Esperance,AU,-33.8667,121.9,48.04,83,3,8.63,clear sky
247,Buy,RU,58.4786,41.53,63.3,95,100,3.53,overcast clouds
248,Arya,PK,33.6,73.0667,89.47,44,8,8.1,clear sky
249,Metro,ID,-5.1131,105.3067,73.11,77,94,4.81,overcast clouds
250,Moron,AR,-34.6534,-58.6198,55.8,64,68,3.0,broken clouds
251,Ust-Kuyga,RU,70.0167,135.6,62.06,64,100,4.36,overcast clouds
252,Hecun,CN,36.5333,114.1111,72.59,85,100,1.45,light rain
253,Kyabram,AU,-36.3167,145.05,44.87,85,100,5.73,overcast clouds
254,Katsuura,JP,35.1333,140.3,75.31,89,100,17.13,overcast clouds
255,Nalut,LY,30.3333,10.85,106.03,6,27,10.78,scattered clouds
256,Mackay,AU,-21.15,149.2,66.18,94,75,9.22,broken clouds
257,Kupang,ID,-10.1667,123.5833,77.04,82,52,9.55,broken clouds
258,Botwood,CA,49.1499,-55.3482,71.08,78,100,5.32,overcast clouds
259,Lata,PT,40.1629,-8.3327,92.05,35,1,9.24,clear sky
260,Luz,BR,-19.8014,-45.6856,86.2,23,2,4.0,clear sky
261,Naryan-Mar,RU,67.6713,53.087,60.48,91,96,7.09,overcast clouds
262,Narendranagar,IN,30.1667,78.3,68.83,89,100,4.9,overcast clouds
263,Zhizdra,RU,53.746,34.7395,69.94,69,49,8.52,scattered clouds
264,Port Macquarie,AU,-31.4333,152.9167,53.56,76,85,1.34,overcast clouds
265,Robore,BO,-18.3333,-59.75,71.69,46,6,5.75,clear sky
266,Henties Bay,NA,-22.116,14.2845,59.86,84,51,12.35,broken clouds
267,Gorahun,SL,7.4661,-11.2375,73.72,97,100,5.82,light rain
268,San Patricio,US,28.017,-97.5169,93.29,50,1,11.34,clear sky
269,Warrington,GB,53.3925,-2.5802,73.24,51,20,4.0,few clouds
270,Cherat,PK,33.8233,71.8915,82.33,35,6,4.92,clear sky
271,Pemangkat,ID,1.1667,108.9667,76.69,86,100,2.1,overcast clouds
272,Bubaque,GW,11.2833,-15.8333,80.28,78,91,13.98,overcast clouds
273,Chokurdakh,RU,70.6333,147.9167,55.15,88,73,5.44,broken clouds
274,Langnau,CH,46.9394,7.7874,85.87,65,2,0.63,clear sky
275,Coffs Harbour,AU,-30.3,153.1333,61.12,95,75,5.75,broken clouds
276,Chengde,CN,40.9725,117.9361,64.38,94,14,1.88,light rain
277,Anadyr,RU,64.75,177.4833,43.3,81,75,4.47,broken clouds
278,Changping,CN,40.2186,116.2197,74.84,95,39,3.06,scattered clouds
279,Bakchar,RU,57.0186,82.0711,49.98,95,100,5.46,overcast clouds
280,Wawa,NG,9.9022,4.4192,78.37,84,96,5.88,light rain
281,Puri,IN,19.8,85.85,82.92,82,100,10.2,overcast clouds
282,Gerash,IR,27.6652,54.1371,100.54,29,26,5.46,scattered clouds
283,Bethel,US,41.3712,-73.414,94.1,68,76,1.01,broken clouds
284,Wanning,CN,18.8003,110.3967,82.47,88,100,9.57,overcast clouds
285,Sandakan,MY,5.8402,118.1179,80.28,89,20,2.3,few clouds
286,Qandala,SO,11.472,49.8728,88.21,58,100,3.74,overcast clouds
287,Awbari,LY,26.5921,12.7805,103.66,8,0,12.62,clear sky
288,Muros,ES,42.7762,-9.0603,84.16,57,14,16.17,few clouds
289,Puerto Cabello,VE,10.4731,-68.0125,81.88,77,22,12.03,few clouds
290,Hun,LY,29.1268,15.9477,105.13,9,0,18.54,clear sky
291,Codrington,AU,-38.2667,141.9667,46.44,96,42,11.95,scattered clouds
292,Camapua,BR,-19.5314,-54.0439,90.52,26,0,0.54,clear sky
293,Bismil,TR,37.8486,40.6658,91.51,19,7,8.43,clear sky
294,Sao Filipe,CV,14.8961,-24.4956,77.23,74,15,17.2,few clouds
295,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,87,40,6.91,scattered clouds
296,Kachiry,KZ,53.0675,76.1036,54.82,88,100,13.53,overcast clouds
297,Hammerfest,NO,70.6634,23.6821,54.05,76,75,4.61,broken clouds
298,Ecija,ES,37.5422,-5.0826,109.74,19,1,7.72,clear sky
299,Lucapa,AO,-8.4192,20.7447,77.9,18,0,1.72,clear sky
300,Nome,US,64.5011,-165.4064,39.9,75,39,6.04,scattered clouds
301,Paamiut,GL,61.994,-49.6678,43.34,88,60,8.43,broken clouds
302,Kirakira,SB,-10.4544,161.9205,76.5,92,100,8.66,overcast clouds
303,Cordoba,AR,-31.4135,-64.1811,56.25,27,0,1.99,clear sky
304,Deming,US,32.2687,-107.7586,80.78,42,64,12.62,broken clouds
305,Canon City,US,38.441,-105.2424,88.61,23,1,0.0,clear sky
306,Yambio,SS,4.5721,28.3955,70.11,93,79,1.79,light rain
307,Shaoxing,CN,30.011,120.5715,80.55,97,100,0.67,overcast clouds
308,Saint George,US,37.1041,-113.5841,94.53,38,0,1.99,clear sky
309,Orel-Izumrud,RU,43.4583,39.9244,78.82,78,75,8.95,broken clouds
310,Aripuana,BR,-9.1667,-60.6333,97.41,20,62,4.97,broken clouds
311,Padang,ID,-0.9492,100.3543,76.98,88,50,3.36,scattered clouds
312,Thung Song,TH,8.1645,99.6804,75.79,92,20,3.36,few clouds
313,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,68,2,11.25,clear sky
314,La Cruz,MX,23.9167,-106.9,85.46,81,81,1.01,broken clouds
315,Mehamn,NO,71.0357,27.8492,55.58,91,88,11.88,overcast clouds
316,Bathsheba,BB,13.2167,-59.5167,88.41,66,75,19.57,broken clouds
317,Rio Gallegos,AR,-51.6226,-69.2181,57.25,28,0,21.85,clear sky
318,Kruisfontein,ZA,-34.0033,24.7314,46.89,88,100,1.45,light rain
319,Camacha,PT,33.0833,-16.3333,74.62,61,40,12.66,scattered clouds
320,Sola,VU,-13.8833,167.55,77.83,77,51,26.15,broken clouds
321,Pangnirtung,CA,66.1451,-65.7125,57.2,67,90,13.8,moderate rain
322,Gombe,NG,10.2897,11.1673,75.22,92,100,5.64,light rain
323,San Policarpo,PH,12.1791,125.5072,81.99,77,20,5.91,few clouds
324,Murgab,TM,37.4966,61.9714,94.87,21,0,6.91,clear sky
325,Prince Rupert,CA,54.3161,-130.3201,60.49,85,1,3.44,clear sky
326,Ransang,PH,8.9603,117.5828,79.2,86,97,3.94,overcast clouds
327,Sekoma,BW,-24.4,23.8833,63.46,28,24,10.98,few clouds
328,Mahajanga,MG,-15.7167,46.3167,75.22,73,20,5.75,few clouds
329,Krasnyy Oktyabr,RU,56.1167,38.8833,71.29,96,100,3.4,overcast clouds
330,Guinticgan,PH,11.5641,123.1236,82.2,80,94,9.8,overcast clouds
331,Kununurra,AU,-15.7667,128.7333,80.58,41,3,9.22,clear sky
332,Dharchula,IN,29.85,80.5333,73.2,97,95,0.58,overcast clouds
333,Roma,US,43.2128,-75.4557,86.5,75,80,4.0,broken clouds
334,Praxedis Guerrero,MX,31.3667,-106.0167,80.19,69,98,9.53,overcast clouds
335,Fare,PF,-16.7,-151.0167,78.37,68,20,14.54,few clouds
336,Bardstown,US,37.8092,-85.4669,91.76,70,1,5.75,clear sky
337,Margate,GB,51.3813,1.3862,73.87,68,88,1.99,overcast clouds
338,Tumaco,CO,1.7986,-78.8156,81.18,69,95,11.83,overcast clouds
339,Pueblo Nuevo,MX,23.3833,-105.3833,71.96,53,29,4.34,scattered clouds
340,Acapulco,MX,16.8634,-99.8901,84.24,63,89,3.18,overcast clouds
341,Japura,ID,-0.3167,102.35,75.09,86,93,1.83,overcast clouds
342,Baghdad,IQ,33.3406,44.4009,107.51,17,0,9.22,clear sky
343,Bacolod,PH,10.6667,122.95,78.87,79,100,5.14,overcast clouds
344,Luan,CH,46.3592,6.9759,81.64,55,37,4.0,scattered clouds
345,Hangu,CN,39.2489,117.7892,75.24,82,97,6.38,light rain
346,Noumea,NC,-22.2763,166.4572,60.78,74,58,10.11,broken clouds
347,Penapolis,BR,-21.4197,-50.0775,78.82,26,0,5.55,clear sky
348,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,85.08,53,20,13.71,few clouds
