City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,Praxedis Guerrero,MX,80.19,overcast clouds,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
335,Fare,PF,78.37,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
338,Tumaco,CO,81.18,overcast clouds,1.7986,-78.8156,Dafneruben
340,Acapulco,MX,84.24,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
341,Japura,ID,75.09,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
343,Bacolod,PH,78.87,overcast clouds,10.6667,122.95,Planta Hotel & Residences
344,Luan,CH,81.64,scattered clouds,46.3592,6.9759,Hotel Appartement Castel Club Leysin Parc
345,Hangu,CN,75.24,light rain,39.2489,117.7892,Chongli Xuexiang Family Express Inn
347,Penapolis,BR,78.82,clear sky,-21.4197,-50.0775,Bigs Hotel
348,Saint-Michel-Des-Saints,CA,85.08,few clouds,46.6834,-73.9159,Motel Du Mont trinity
351,Lasa,IT,80.62,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
352,Vilhena,BR,80.82,clear sky,-12.7406,-60.1458,Hotel Mirage
359,Arys,KZ,82.62,clear sky,42.4252,68.795,Gostinitsa
360,Alexandria,EG,86.54,clear sky,31.2156,29.9553,Royal Crown Hotel
362,Omboue,GA,77.94,broken clouds,-1.5746,9.2618,Hotel Olako
363,Kogon,UZ,87.44,clear sky,39.7228,64.5517,"""AFROSIYOB"" HOSTEL"
364,Kintampo,GH,77.16,moderate rain,8.0563,-1.7306,Adomaa Memorial Hotel
365,Hambantota,LK,80.76,overcast clouds,6.1241,81.1185,Bungalow 63
368,Shimoda,JP,77.63,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
370,Pendleton,US,89.91,few clouds,45.6721,-118.7886,Americas Best Value Inn Pendleton
371,Tuy Hoa,VN,78.04,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
373,Siparia,TT,80.78,overcast clouds,10.1333,-61.5,Brook Gardens
374,Sao Gabriel Da Cachoeira,BR,78.6,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
378,Aksay,RU,77.68,light rain,47.26,39.87,Chernaya Zhemchuzhina
381,Andros Town,BS,84.16,scattered clouds,24.7,-77.7667,Hanks place
382,Salalah,OM,76.48,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
383,Beckley,US,84.09,scattered clouds,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
